data_dte,Year,Month,usg_apt_id,usg_apt,usg_wac,fg_apt_id,fg_apt,fg_wac,airlineid,carrier,carriergroup,type,Scheduled,Charter,Total
5/1/2001,2001,5,13303,MIA,33,15610,VLN,388,20149,PRQ,1,Departures,0,2,2
8/1/2008,2008,8,13303,MIA,33,12051,GYE,337,20149,PRQ,1,Departures,0,7,7
10/1/2010,2010,10,13303,MIA,33,14030,PBM,379,20453,ABX,1,Departures,0,14,14
2/1/2004,2004,2,10581,BGR,12,12651,KEF,439,20402,MMQ,1,Departures,0,7,7
2/1/2007,2007,2,10397,ATL,34,14849,SKB,275,19790,DL,1,Departures,0,10,10
1/1/2004,2004,1,10721,BOS,13,14739,SDQ,224,20344,RD,1,Departures,0,2,2
5/1/2007,2007,5,10397,ATL,34,13252,MEX,148,21061,6R,0,Departures,0,3,3
4/1/2007,2007,4,13303,MIA,33,10575,BGI,205,20344,RD,1,Departures,0,1,1
2/1/2006,2006,2,13303,MIA,33,15455,UIO,337,20007,5Y,1,Departures,0,12,12
8/1/2006,2006,8,11668,FFO,44,15258,TLV,636,20007,5Y,1,Departures,0,1,1
12/1/2004,2004,12,11982,GRK,74,11760,FRA,429,19805,AA,1,Departures,0,2,2
2/1/2004,2004,2,13342,MKE,45,14293,PUJ,224,20120,DE,0,Departures,0,18,18
4/1/2001,2001,4,13342,MKE,45,14293,PUJ,224,20344,RYQ,1,Departures,0,3,3
3/1/2009,2009,3,10299,ANC,1,11793,FUK,736,19548,JL,0,Departures,0,1,1
11/1/2006,2006,11,15016,STL,64,13180,MBJ,243,20344,RD,1,Departures,0,8,8
12/1/2005,2005,12,14100,PHL,23,16229,YVR,906,19531,AC,0,Departures,0,1,1
4/1/2010,2010,4,10208,AGS,34,16271,YYZ,936,19531,AC,0,Departures,0,2,2
7/1/2006,2006,7,12003,GTF,84,16250,YXS,906,19998,SI,1,Departures,0,1,1
4/1/2009,2009,4,14122,PIT,23,16271,YYZ,936,20402,GL,1,Departures,0,1,1
6/1/2006,2006,6,10397,ATL,34,11032,CUN,148,20402,GL,1,Departures,0,3,3
9/1/2007,2007,9,13303,MIA,33,15643,VVI,312,20344,RD,1,Departures,0,35,35
5/1/2008,2008,5,15842,WRI,21,12938,LEJ,429,20095,WO,1,Departures,0,2,2
8/1/2007,2007,8,14843,SJU,3,14286,PTY,162,20305,PCQ,1,Departures,0,1,1
3/1/2010,2010,3,12217,HSV,51,14886,SLW,148,20166,GFQ,1,Departures,0,2,2
3/1/2008,2008,3,10299,ANC,1,12699,KIX,736,20007,5Y,1,Departures,0,7,7
10/1/2001,2001,10,13303,MIA,33,12010,GUA,127,20400,CCQ,1,Departures,0,4,4
5/1/2006,2006,5,15045,SUU,91,13856,OKO,736,20370,KAQ,1,Departures,0,7,7
2/1/2004,2004,2,13487,MSP,63,11032,CUN,148,20344,RD,1,Departures,0,75,75
10/1/2007,2007,10,16091,YIP,43,16078,YHM,936,20447,U7,1,Departures,0,1,1
12/1/2005,2005,12,10540,BED,13,16217,YUL,941,20305,PCQ,1,Departures,0,1,1
2/1/2007,2007,2,10994,CHS,37,12957,LGG,409,20370,KAQ,1,Departures,0,5,5
11/1/2002,2002,11,13198,MCI,64,16257,YYC,916,20344,RYQ,1,Departures,0,31,31
2/1/2010,2010,2,12266,IAH,74,16042,YEG,916,20428,VIQ,0,Departures,0,1,1
12/1/2007,2007,12,14843,SJU,3,14030,PBM,379,20421,SLQ,1,Departures,0,1,1
5/1/2006,2006,5,13232,MDW,41,16271,YYZ,936,19977,UA,1,Departures,0,1,1
10/1/2010,2010,10,14814,SHV,72,14886,SLW,148,20166,GFQ,1,Departures,0,1,1
7/1/2006,2006,7,13667,NGU,38,12651,KEF,439,20344,RD,1,Departures,0,1,1
9/1/2003,2003,9,10732,BQN,3,14739,SDQ,224,20214,AD,0,Departures,0,99,99
10/1/2008,2008,10,11066,CMH,44,16229,YVR,906,19531,AC,0,Departures,0,1,1
2/1/2008,2008,2,11487,EDF,1,13954,OSN,778,20057,EZ,1,Departures,0,5,5
12/1/2006,2006,12,13244,MEM,54,16271,YYZ,936,19531,AC,0,Departures,0,2,2
2/1/2005,2005,2,15842,WRI,21,14561,RMS,429,20370,KAQ,1,Departures,0,2,2
4/1/2001,2001,4,13303,MIA,33,13166,MAO,316,20149,PRQ,1,Departures,0,4,4
8/1/2001,2001,8,14814,SHV,72,13252,MEX,148,20447,U7,1,Departures,0,1,1
5/1/2004,2004,5,14814,SHV,72,13514,MTY,148,20447,U7,1,Departures,0,3,3
8/1/2009,2009,8,11618,EWR,21,12651,KEF,439,21281,JAG,0,Departures,0,1,1
11/1/2005,2005,11,12187,HOP,52,16178,YQX,961,20344,RD,1,Departures,0,2,2
4/1/2010,2010,4,12478,JFK,22,11915,GIG,316,20007,5Y,1,Departures,0,1,1
12/1/2005,2005,12,12266,IAH,74,12876,LAD,502,20095,WO,1,Departures,0,20,20
3/1/2008,2008,3,11298,DFW,74,10911,CCS,388,20312,TZ,1,Departures,0,2,2
4/1/2007,2007,4,14761,SFB,33,14293,PUJ,224,20368,G4,1,Departures,0,4,4
12/1/2007,2007,12,12889,LAS,85,13165,MAN,493,20278,RNQ,0,Departures,0,4,4
4/1/2004,2004,4,12320,ILG,31,16128,YMX,941,20201,AMQ,1,Departures,0,1,1
5/1/2010,2010,5,13303,MIA,33,10575,BGI,205,20402,GL,1,Departures,0,1,1
7/1/2003,2003,7,13061,LRD,74,13514,MTY,148,20447,U7,1,Departures,0,2,2
7/1/2001,2001,7,10307,ANN,1,14132,PKC,770,20402,MMQ,1,Departures,0,1,1
1/1/2002,2002,1,13303,MIA,33,13252,MEX,148,20149,PRQ,1,Departures,0,6,6
7/1/2003,2003,7,14582,ROP,5,15174,TER,469,20344,RD,1,Departures,0,1,1
11/1/2003,2003,11,10581,BGR,12,13143,LYS,427,20007,5Y,1,Departures,0,1,1
9/1/2005,2005,9,13697,NKT,36,16267,YYR,961,20344,RD,1,Departures,0,4,4
3/1/2010,2010,3,11697,FLL,33,16271,YYZ,936,20402,GL,1,Departures,0,1,1
6/1/2006,2006,6,10693,BNA,54,16166,YQG,936,20166,GFQ,1,Departures,0,1,1
5/1/2001,2001,5,12478,JFK,22,13166,MAO,316,20415,XG,1,Departures,0,2,2
2/1/2009,2009,2,13303,MIA,33,12073,HAV,219,20401,3M,1,Departures,0,8,8
4/1/2008,2008,4,13303,MIA,33,12073,HAV,219,20414,OW,1,Departures,0,62,62
12/1/2009,2009,12,11298,DFW,74,14886,SLW,148,20166,GFQ,1,Departures,0,1,1
11/1/2004,2004,11,11375,DOV,31,14115,PIK,493,20057,EZ,1,Departures,0,1,1
7/1/2007,2007,7,11193,CVG,52,13605,NAS,204,20421,SLQ,1,Departures,0,1,1
8/1/2006,2006,8,14747,SEA,93,16278,YZT,906,20272,KAH,1,Departures,0,2,2
7/1/2003,2003,7,10397,ATL,34,13180,MBJ,243,20421,SLQ,1,Departures,0,2,2
3/1/2007,2007,3,11057,CLT,36,13605,NAS,204,20305,PCQ,1,Departures,0,3,3
8/1/2001,2001,8,10397,ATL,34,10911,CCS,388,20284,TCQ,1,Departures,0,1,1
10/1/2005,2005,10,14761,SFB,33,11928,GLA,493,20140,CC,0,Departures,0,1,1
10/1/2003,2003,10,11618,EWR,21,14293,PUJ,224,20423,U5,1,Departures,0,26,26
8/1/2004,2004,8,14955,SPN,5,12169,HND,736,20185,JO,0,Departures,0,12,12
8/1/2003,2003,8,13303,MIA,33,15603,VIX,316,20156,M3,0,Departures,0,5,5
4/1/2007,2007,4,10994,CHS,37,11760,FRA,429,19917,5X,1,Departures,0,1,1
5/1/2007,2007,5,15842,WRI,21,14561,RMS,429,20007,5Y,1,Departures,0,8,8
2/1/2009,2009,2,11259,DAL,74,16042,YEG,916,19531,AC,0,Departures,0,1,1
7/1/2005,2005,7,12173,HNL,2,11216,CXI,824,20177,PFQ,1,Departures,0,2,2
10/1/2007,2007,10,14512,RFD,41,12125,HHN,429,20344,RD,1,Departures,0,1,1
12/1/2003,2003,12,10559,BFI,93,16229,YVR,906,20421,SLQ,1,Departures,0,2,2
5/1/2008,2008,5,10140,ABQ,86,16085,YHZ,951,20402,GL,1,Departures,0,1,1
7/1/2005,2005,7,11540,ELP,74,16166,YQG,936,20447,U7,1,Departures,0,1,1
7/1/2007,2007,7,10299,ANC,1,11458,DYR,770,20402,GL,1,Departures,0,4,4
11/1/2003,2003,11,12478,JFK,22,13957,OST,409,20370,KAQ,1,Departures,0,1,1
9/1/2006,2006,9,10299,ANC,1,12277,ICN,778,20370,KAQ,1,Departures,0,33,33
2/1/2006,2006,2,14683,SAT,74,16304,ZIH,148,20204,MG,1,Departures,0,3,3
1/1/2003,2003,1,10172,ADW,35,13156,MAD,482,19540,BA,0,Departures,0,1,1
7/1/2003,2003,7,13898,OPF,33,13605,NAS,204,20214,AD,0,Departures,0,26,26
4/1/2007,2007,4,12134,HIK,2,11351,DNA,736,20057,EZ,1,Departures,0,1,1
5/1/2005,2005,5,12016,GUM,5,13850,OKA,736,19548,JL,0,Departures,0,1,1
11/1/2002,2002,11,11495,EFD,74,16271,YYZ,936,19531,AC,0,Departures,0,1,1
2/1/2007,2007,2,13487,MSP,63,11032,CUN,148,20344,RD,1,Departures,0,16,16
6/1/2001,2001,6,14814,SHV,72,16271,YYZ,936,20447,U7,1,Departures,0,1,1
3/1/2002,2002,3,15016,STL,64,11032,CUN,148,20204,MG,1,Departures,0,24,24
1/1/2007,2007,1,13204,MCO,33,13306,MID,148,20402,GL,1,Departures,0,1,1
4/1/2007,2007,4,15842,WRI,21,11915,GIG,316,20007,5Y,1,Departures,0,1,1
3/1/2003,2003,3,13303,MIA,33,10575,BGI,205,20453,MIW,1,Departures,0,8,8
9/1/2004,2004,9,10299,ANC,1,12277,ICN,778,20370,KAQ,1,Departures,0,25,25
9/1/2005,2005,9,10821,BWI,35,13605,NAS,204,20305,PCQ,1,Departures,0,1,1
7/1/2010,2010,7,12266,IAH,74,13957,OST,409,20140,CC,0,Departures,0,4,4
9/1/2004,2004,9,11540,ELP,74,11874,GDL,148,20447,U7,1,Departures,0,1,1
10/1/2006,2006,10,10299,ANC,1,13856,OKO,736,20370,KAQ,1,Departures,0,2,2
6/1/2003,2003,6,11618,EWR,21,13943,ORY,427,20406,BNQ,1,Departures,0,1,1
1/1/2001,2001,1,12217,HSV,51,13113,LUX,454,19545,CV,0,Departures,0,11,11
5/1/2008,2008,5,11375,DOV,31,14561,RMS,429,20095,WO,1,Departures,0,4,4
9/1/2001,2001,9,14955,SPN,5,12143,HKG,729,20177,PFQ,1,Departures,0,1,1
11/1/2006,2006,11,13303,MIA,33,13180,MBJ,243,20453,ABX,1,Departures,0,6,6
4/1/2007,2007,4,14492,RDU,36,14849,SKB,275,20402,GL,1,Departures,0,3,3
9/1/2006,2006,9,13303,MIA,33,12986,LIM,368,20308,WE,1,Departures,0,13,13
5/1/2007,2007,5,13667,NGU,38,11265,DAV,162,20402,GL,1,Departures,0,1,1
7/1/2005,2005,7,10299,ANC,1,13954,OSN,778,20007,5Y,1,Departures,0,1,1
12/1/2009,2009,12,12266,IAH,74,13957,OST,409,20140,CC,0,Departures,0,2,2
6/1/2006,2006,6,11298,DFW,74,11032,CUN,148,19534,AM,0,Departures,0,138,138
5/1/2009,2009,5,12478,JFK,22,12922,LDE,427,20415,NA,1,Departures,0,1,1
6/1/2007,2007,6,13061,LRD,74,14886,SLW,148,20372,KLQ,1,Departures,0,13,13
9/1/2005,2005,9,15045,SUU,91,13954,OSN,778,20007,5Y,1,Departures,0,1,1
9/1/2004,2004,9,13303,MIA,33,13605,NAS,204,20203,FCQ,1,Departures,0,2,2
3/1/2003,2003,3,13697,NKT,36,13957,OST,409,20370,KAQ,1,Departures,0,2,2
12/1/2007,2007,12,12266,IAH,74,11063,CME,148,20166,GFQ,1,Departures,0,1,1
12/1/2007,2007,12,13303,MIA,33,16178,YQX,961,20370,KAQ,1,Departures,0,1,1
8/1/2010,2010,8,10299,ANC,1,12277,ICN,778,20190,9S,1,Departures,0,71,71
1/1/2006,2006,1,13303,MIA,33,10658,BLA,388,20308,WE,1,Departures,0,1,1
6/1/2007,2007,6,14275,PTK,43,16179,YQY,951,20166,GFQ,1,Departures,0,1,1
4/1/2001,2001,4,10721,BOS,13,11032,CUN,148,20415,XG,1,Departures,0,24,24
12/1/2004,2004,12,14635,RSW,33,16271,YYZ,936,20065,SEQ,0,Departures,0,13,13
8/1/2010,2010,8,13303,MIA,33,15567,VCP,316,20007,5Y,1,Departures,0,45,45
6/1/2001,2001,6,13303,MIA,33,14293,PUJ,224,20402,MMQ,1,Departures,0,4,4
11/1/2010,2010,11,16091,YIP,43,16166,YQG,936,20405,MRQ,1,Departures,0,1,1
